event,cid,mid,pid,time,date,content,verify,trigger
sydneysiege,544359578612559872,544359578612559872,None,1418620411.0,2014-12-15 05:13:31,UPDATE: Police confirm they have made contact with the gunman. There are no reported injuries. #9News http://t.co/nZWY5ZyWBe,1,1
sydneysiege,544359578612559872,544360321234640896,544359578612559872,1418620588.0,2014-12-15 05:16:28,@9NewsSyd @SkyNewsAust @nswpolice http://t.co/8UYQHcBtN8,1,0
sydneysiege,544359578612559872,544366882347048960,544360321234640896,1418622153.0,2014-12-15 05:42:33,@fraggles74 @9NewsSyd @SkyNewsAust @nswpolice http://t.co/om4oswcJSO,1,0
sydneysiege,544359578612559872,544360546661707777,544359578612559872,1418620642.0,2014-12-15 05:17:22,@9NewsSyd @nbnnews It is an Arabic flag you ignorant people,1,3
sydneysiege,544359578612559872,544361704323153920,544360546661707777,1418620918.0,2014-12-15 05:21:58,"@peterfra  It is an Arabic flag displaying the shahada, The Black Standard used by Mohamed &amp; emblem of modern jihad.",1,0
sydneysiege,544359578612559872,544360545789280256,544359578612559872,1418620642.0,2014-12-15 05:17:22,"@9NewsSyd this is all a diversion think about it there's only one gunman he's shown the Isis flag and he has hostages,Enough to make a scene",1,1
sydneysiege,544359578612559872,544360704778575872,544359578612559872,1418620680.0,2014-12-15 05:18:00,@9NewsSyd there's something else planned ! The gunman hasn't made any demands he's just stalling you all it's so obvious come on people,1,1
sydneysiege,544359578612559872,544360818616201217,544359578612559872,1418620707.0,2014-12-15 05:18:27,@9NewsSyd @9NewsPerth hope everyone gets out safe,1,0
sydneysiege,544359578612559872,544361150779883520,544359578612559872,1418620786.0,2014-12-15 05:19:46,@9NewsSyd Peaceful place under attack ... Now world must unite against these forces,1,0
sydneysiege,544359578612559872,544361190676520960,544359578612559872,1418620796.0,2014-12-15 05:19:56,This sums it up &gt; RT @9NewsSyd: UPDATE: Police confirm they have made contact with the gunman. #9News http://t.co/BUUWpPj8xm,1,0
sydneysiege,544359578612559872,544361605635375105,544359578612559872,1418620895.0,2014-12-15 05:21:35,@9NewsSyd @9NewsAUS isis,1,1
sydneysiege,544359578612559872,544362414410854401,544359578612559872,1418621088.0,2014-12-15 05:24:48,"@9NewsSyd 
they will experience trauma.",1,0
ottawashooting,524965775036387329,524965775036387329,None,1413996568.0,2014-10-22 16:49:28,"Hero. @affanchowdhry: Kevin Vickers, head of security in parliament, being credited for taking down shooter #Ottawa http://t.co/rVYetE0KYq""",1,1
ottawashooting,524965775036387329,524972195978964993,524965775036387329,1413998099.0,2014-10-22 17:14:59,@LindaFrum @LeBlancJpl @affanchowdhry good for Vickers,1,0
ottawashooting,524965775036387329,524974387125317633,524965775036387329,1413998622.0,2014-10-22 17:23:42,@LindaFrum @affanchowdhry  absolutely!,1,0
ottawashooting,524965775036387329,525005729938554882,524965775036387329,1414006094.0,2014-10-22 19:28:14,@LindaFrum @affanchowdhry The real hero is the soldier who lost his life doing his job and serving his country.,1,1
ottawashooting,524965775036387329,525015279387299840,524965775036387329,1414008371.0,2014-10-22 20:06:11,"@LindaFrum @affanchowdhry.. 
This was an attack on all Canadians whatever stripe 
Obviously these despicable acts are from cowardly cretins.",1,0
ferguson,500350777844457473,500350777844457473,None,1408127896.0,2014-08-15 18:38:16,"#Ferguson cops beat innocent man, then charged him with bleeding on their uniforms http://t.co/JUQ3pKvbCm http://t.co/pByb9IUqew",2,1
ferguson,500350777844457473,500351119055659008,500350777844457473,1408127977.0,2014-08-15 18:39:37,@RT_com fascist state,2,0
ferguson,500350777844457473,500374410101280769,500351119055659008,1408133530.0,2014-08-15 20:12:10,@rmackay11 @RT_com the whole state is fascist?,2,0
ferguson,500350777844457473,500351606064701441,500350777844457473,1408128093.0,2014-08-15 18:41:33,@RT_com #Ferguson Stop paying these psychopaths! Check their addresses +supply lines! Go for jury nullification if charged with anything!!!!,2,0
ferguson,500350777844457473,500351687081488385,500350777844457473,1408128112.0,2014-08-15 18:41:52,@RT_com # The dark side  of  USA,2,0
ferguson,500350777844457473,500351911531249665,500350777844457473,1408128166.0,2014-08-15 18:42:46,@RT_com @Lynnstroller Is it too soon to rename #Ferguson #Racist Central?,2,0
ferguson,500350777844457473,500364968789680128,500351911531249665,1408131279.0,2014-08-15 19:34:39,@bjork55 @RT_com @Lynnstroller time to buy some guns before they take that right away from you...,2,0
ferguson,500350777844457473,500352357159682048,500350777844457473,1408128272.0,2014-08-15 18:44:32,"“@RT_com: #Ferguson cops beat innocent man, then charged him with bleeding on their uniforms http://t.co/r5mdmi0Eqv http://t.co/4aroIyKt6m”",2,0
ferguson,500350777844457473,500352595488423936,500350777844457473,1408128329.0,2014-08-15 18:45:29,@RT_com Summer of @FearDept,2,0
ferguson,500350777844457473,500353027241676803,500350777844457473,1408128432.0,2014-08-15 18:47:12,"And US spreads ""democracy""?""@RT_com: #Ferguson cops beat innocent man,then charged him w/bleeding on their uniforms http://t.co/Ndl6pRIFjp",2,0
ferguson,500350777844457473,500353045495300098,500350777844457473,1408128436.0,2014-08-15 18:47:16,@RT_com is that true????..finding hard to believe you after all your lies about Ukraine,2,0
ferguson,500350777844457473,500353132795162624,500350777844457473,1408128457.0,2014-08-15 18:47:37,"@RT_com they got infected by #PUNJAB police, #Pakistan. shame",2,0
ferguson,500350777844457473,500353149798850560,500350777844457473,1408128461.0,2014-08-15 18:47:41,@RT_com :(,2,0
ferguson,500350777844457473,500353555660681218,500350777844457473,1408128558.0,2014-08-15 18:49:18,@RT_com AmeriKKKan police for ya,2,0
ferguson,500350777844457473,500354166951526400,500350777844457473,1408128704.0,2014-08-15 18:51:44,"@RT_com Where are the facts ? Video from robbed store show victim pushing employee &amp; stealing cigars, so let's get all the facts first, OK?",2,0
ferguson,500350777844457473,500689726823997441,500354166951526400,1408208707.0,2014-08-16 17:05:07,"@josmart2000 @RT_com That doesn't justify gunning down an unarmed, non threatening suspect whom the cops didn't know was the suspect.",2,0
ferguson,500350777844457473,500355045268131841,500350777844457473,1408128913.0,2014-08-15 18:55:13,@RT_com ru fucking kidding!!???,2,0
ferguson,500350777844457473,500355084509655040,500350777844457473,1408128922.0,2014-08-15 18:55:22,"“@RT_com:#Ferguson cops beat innocent man, then charged him w/bleeding on their uniforms http://t.co/GiRnM5JoEz http://t.co/0HWmTb0hdk”
WTF",2,0
ferguson,500350777844457473,500355908091015169,500350777844457473,1408129119.0,2014-08-15 18:58:39,"“@RT_com: #Ferguson cops beat innocent man, then charged him with bleeding on their uniforms http://t.co/PzSZibOODs http://t.co/rgGC3nFi8B”",2,0
ferguson,500350777844457473,500355921537949696,500350777844457473,1408129122.0,2014-08-15 18:58:42,@RT_com @Novorossiyan Wouldn't say complete innocent man.. but by no means did the man deserve to DIE,2,0
ferguson,500350777844457473,500356172227280897,500350777844457473,1408129182.0,2014-08-15 18:59:42,@RT_com Have you seen their dry cleaning bills?,2,0
ferguson,500350777844457473,500356755856306176,500350777844457473,1408129321.0,2014-08-15 19:02:01,"@RT_com We are DONE|. with #FERGUSON Police Chief THOMAS JACKSON http://t.co/gCRXtcsdev … #THOMASJACKSONMUSTGONOW
http://t.co/RjHB8HRieZ",2,0
ferguson,500350777844457473,500356947833409538,500350777844457473,1408129367.0,2014-08-15 19:02:47,"@RT_com #RT &amp; #SHARE #DarrenWilson #CamerasOnCopsNow!!!! 
#FergusonShooting #KillerCops 
#MichaelBrown 
https://t.co/m8ju5jvIiW",2,0
ferguson,500350777844457473,500358794514558976,500350777844457473,1408129807.0,2014-08-15 19:10:07,"“@RT_com: #Ferguson cops beat innocent man, then charged him with bleeding on their uniforms http://t.co/htgnjgExJC"" that's just stupid",2,0
ferguson,500350777844457473,500363044871225344,500350777844457473,1408130820.0,2014-08-15 19:27:00,"“@RT_com: #Ferguson cops beat innocent man, then charged him with bleeding on their uniforms http://t.co/FbmEpOOVN4 http://t.co/kAqxqK2DWC""y",2,0
ferguson,500350777844457473,500363080371830784,500350777844457473,1408130829.0,2014-08-15 19:27:09,@RT_com they should be arrested for abuse,2,0
ferguson,500350777844457473,500364519429136385,500350777844457473,1408131172.0,2014-08-15 19:32:52,@RT_com good move. Cleaning is expensive,2,0
ferguson,500350777844457473,500370908843098112,500350777844457473,1408132695.0,2014-08-15 19:58:15,"“@RT_com: #Ferguson cops beat innocent man, then charged him with bleeding on their uniforms http://t.co/HFk0ohsuyP http://t.co/635R0EU0aX”😳",2,0
ferguson,500350777844457473,500374075521646592,500350777844457473,1408133450.0,2014-08-15 20:10:50,"@RT_com let the police do their job...the media should be reporting the news,, not influencing it..shame on u.",2,0
ferguson,500350777844457473,500375110650716162,500350777844457473,1408133697.0,2014-08-15 20:14:57,"@RT_com Tell us all how Great Leader Putin, ended that movie theater seige? Didn't Herr Putin kill dozens of innocent victims in gas attack?",2,0
ferguson,500350777844457473,500408956959731712,500350777844457473,1408141767.0,2014-08-15 22:29:27,@RT_com Don't you and Alex Jones work together,2,0
ferguson,500350777844457473,500631281601105920,500350777844457473,1408194773.0,2014-08-16 13:12:53,@RT_com sounds fake,2,2
ferguson,500350777844457473,500633868131905536,500350777844457473,1408195390.0,2014-08-16 13:23:10,@RT_com  yep it's the same here in the netherlands,2,0
ferguson,500350777844457473,500641815221915648,500350777844457473,1408197284.0,2014-08-16 13:54:44,@RT_com this has gotta stop,2,0
ferguson,500350777844457473,500643859274407937,500350777844457473,1408197772.0,2014-08-16 14:02:52,"“@RT_com: #Ferguson cops beat innocent man, then charged him with bleeding on their uniforms http://t.co/PZHsYUpZag http://t.co/55YRTWdVg2”",2,0
ferguson,500350777844457473,500687889613991937,500350777844457473,1408208269.0,2014-08-16 16:57:49,"@RT_com @amazingatheist At this point, it's just gotten so silly, I can't help laughing. Regardless of how serious it is.",2,0
ferguson,500350777844457473,500700052101533697,500350777844457473,1408211169.0,2014-08-16 17:46:09,@RT_com @amazingatheist this must be a joke ahah USA what the fuck is wrong with you?,2,0
ferguson,500350777844457473,501002264375353345,500350777844457473,1408283222.0,2014-08-17 13:47:02,@RT_com smh,2,0
ferguson,500350777844457473,502588610303238144,500350777844457473,1408661437.0,2014-08-21 22:50:37,"RT @RT_com: #Ferguson cops beat innocent man, then charged him with bleeding on their uniforms http://t.co/WuQ3lg9diA http://t.co/ZwEocW2olS",2,0
ottawashooting,524972277406773248,524972277406773248,None,1413998119.0,2014-10-22 17:15:19,Video: Reporter captures shoot-out in Ottawa's Parliament Hill building. Watch: http://t.co/BIemkWAVtc http://t.co/d0BakjCrAB,1,1
ottawashooting,524972277406773248,524975748650909696,524972277406773248,1413998946.0,2014-10-22 17:29:06,“@TelegraphNews: Video: Reporter captures shoot-out in Ottawa's Parliament Hill building.  http://t.co/yUkWmEnreR http://t.co/sFRcKnS5MJ”,1,0
ottawashooting,524972277406773248,524976309534228480,524972277406773248,1413999080.0,2014-10-22 17:31:20,@TelegraphNews I'm 99% sure first shot fired is from a rifle.,1,1
ottawashooting,524972277406773248,524983999694110720,524976309534228480,1414000913.0,2014-10-22 18:01:53,@ScottInSC @TelegraphNews Meaning that would be the suspect shooting?,1,2
ottawashooting,524972277406773248,524985127248875520,524983999694110720,1414001182.0,2014-10-22 18:06:22,@seemakalia No I'm saying I shoot firearms a good bit and the first shot sounds (to me) like a rifle. Could've been anybody. @TelegraphNews,1,0
ottawashooting,524972277406773248,525059907155148800,524983999694110720,1414019011.0,2014-10-22 23:03:31,@seemakalia It seems I was wrong. It was a shotgun. But still definitely a major difference in sound in that 1st shot &amp; the rest.😬,1,0
ottawashooting,524972277406773248,525060428292837377,525059907155148800,1414019135.0,2014-10-22 23:05:35,@ScottInSC Thank you for following up. I'd be curious to know who fired first shots.,1,0
ottawashooting,524972277406773248,525062128341118978,525060428292837377,1414019541.0,2014-10-22 23:12:21,@seemakalia Absolutely. I was curious myself. Glad they stopped him before he did more damage.,1,0
ottawashooting,524972277406773248,525062711164801025,525060428292837377,1414019680.0,2014-10-22 23:14:40,@seemakalia Also listen closely to how loud the first shot is. Definitely not a pistol caliber round. Bad guy shot first. Glad he's dead.,1,0
ottawashooting,524972277406773248,524985481336205313,524972277406773248,1414001267.0,2014-10-22 18:07:47,@TelegraphNews @FearDept Probably a drill.,1,0
ottawashooting,524972277406773248,525179599626731520,524972277406773248,1414047548.0,2014-10-23 06:59:08,"@TelegraphNews @RISLEIMAN المشكلة أمه كندية ومولود في كندا وعمره ماشاف ليبيا
#المهاجم ليبي من عائلة الزحاف #يقال انه شارك في الثورة الليبية",1,0
charliehebdo,553512735192141826,553512735192141826,None,1420802694.0,2015-01-09 11:24:54,Update - AFP: an unnamed police source says the killing of the policewoman in #Paris on Thursday is linked to the #CharlieHebdo attack,1,1
charliehebdo,553512735192141826,553513642478813184,553512735192141826,1420802910.0,2015-01-09 11:28:30,@SkyNewsBreak wow and you were so sure there was no connection despite having no info. Tell us the news not your view as news. Numpties.,1,2
charliehebdo,553512735192141826,553513916572381185,553512735192141826,1420802976.0,2015-01-09 11:29:36,"@SkyNewsBreak of course it was going to be linked, something needs done before they take over the world !!",1,0
charliehebdo,553512735192141826,553514819085946881,553512735192141826,1420803191.0,2015-01-09 11:33:11,@SkyNewsBreak I'd rather wait for official confirmation than your scaremongering speculative social media sourcing news. #givefacts #unnamed,1,2
charliehebdo,553512735192141826,553516393791238145,553512735192141826,1420803566.0,2015-01-09 11:39:26,"@SkyNewsBreak at least it hasn't been forgotten... there's been so little coverage, no mention of finding the shooter that escaped!!",1,0
charliehebdo,553512735192141826,553820631087988736,553512735192141826,1420876102.0,2015-01-10 07:48:22,@SkyNewsBreak no shit #JeSuisCharlie,1,0
charliehebdo,553474514496278528,553474514496278528,None,1420793581.0,2015-01-09 08:53:01,French Interior Minister says operation under way to detain 2 #CharlieHebdo suspects http://t.co/2pHnT9UofV,1,1
charliehebdo,553474514496278528,553474568657334273,553474514496278528,1420793594.0,2015-01-09 08:53:14,@BBCBreaking Detain? Shoot the fuckers.,1,0
charliehebdo,553474514496278528,553474901470744576,553474568657334273,1420793674.0,2015-01-09 08:54:34,@CmdrNinja @BBCBreaking take no prisoners,1,0
charliehebdo,553474514496278528,553592318025273345,553474901470744576,1420821668.0,2015-01-09 16:41:08,"@tyox85 @CmdrNinja @BBCBreaking What is whit you! are you  GOD !  you are just like any other, full of sins only HIM Can JUDGE HE'S PERFECT!",1,0
charliehebdo,553474514496278528,553475125291798528,553474568657334273,1420793727.0,2015-01-09 08:55:27,@CmdrNinja @BBCBreaking I was thinking  feed them alive to pigs.,1,0
charliehebdo,553474514496278528,553475196976627712,553475125291798528,1420793744.0,2015-01-09 08:55:44,@Socialistdawn @BBCBreaking Also works.,1,0
charliehebdo,553474514496278528,553595139550371840,553475196976627712,1420822341.0,2015-01-09 16:52:21,@CmdrNinja @Socialistdawn @BBCB in all your comments I see that you promote Violence in the News sector that is very destructive to all.,1,0
charliehebdo,553474514496278528,553593278743191553,553475125291798528,1420821897.0,2015-01-09 16:44:57,@Socialistdawn @CmdrNinja @BBCBreaking I can't beleive what is said! WAR BEGIN IN YOUR MOUTH so SHUT UP AND THERE WILL BE PEACE ON EARTH,1,2
charliehebdo,553474514496278528,553590606724079618,553474568657334273,1420821260.0,2015-01-09 16:34:20,@CmdrNinja @BBCBreaking what a language u should be ashame I am just to read it on a Tweet people like you reporting news promoting Violence,1,2
charliehebdo,553474514496278528,553598425741426688,553590606724079618,1420823124.0,2015-01-09 17:05:24,"@Irenekenny4 @BBCBreaking ""You promote violence"" yes, against people who have hostages and have already killed 12 PEOPLE.",1,3
charliehebdo,553474514496278528,553602658196787201,553598425741426688,1420824133.0,2015-01-09 17:22:13,@CmdrNinja @BBCBreaking did you see every thing whit your eyes the moment it happen you were present beside them is that it?,1,2
charliehebdo,553474514496278528,553602927643086849,553602658196787201,1420824198.0,2015-01-09 17:23:18,@Irenekenny4 @BBCBreaking ... so you're disputing the fact that 12 people lost their lives to extremists? And you're saying they don't-,1,2
charliehebdo,553474514496278528,553604785619075072,553602927643086849,1420824641.0,2015-01-09 17:30:41,"@CmdrNinja @BBCBreaking I saying that it is not your job to judge the guys,I only know what has been told about what happened I saw nothing",1,3
charliehebdo,553474514496278528,553604962044116992,553604785619075072,1420824683.0,2015-01-09 17:31:23,@Irenekenny4 @BBCBreaking They. Murdered. 12. People. 12 innocent people lost their lives because some cunts got annoyed. There is-,1,0
charliehebdo,553474514496278528,553605032932032514,553604785619075072,1420824699.0,2015-01-09 17:31:39,"@Irenekenny4 @BBCBreaking no how, why, who, whatever. There is no way to justify taking the lives of 12 innocent people.",1,0
charliehebdo,553474514496278528,553605325849657344,553602927643086849,1420824769.0,2015-01-09 17:32:49,@CmdrNinja @BBCBreaking I always beleived that a reporter of a big journal has very strick principles and don't report LIES and DON'T ACUSE!,1,0
charliehebdo,553474514496278528,553605597959303169,553605325849657344,1420824834.0,2015-01-09 17:33:54,"@Irenekenny4 @BBCBreaking You're either incredibly ignorant, or just stupid. The families of 12 people are grieving right now and you-",1,0
charliehebdo,553474514496278528,553605694923231232,553605325849657344,1420824857.0,2015-01-09 17:34:17,@Irenekenny4 @BBCBreaking are saying that the people who did the shooting don't deserve what was coming to them. Just stop talking.,1,3
charliehebdo,553474514496278528,553606959044509698,553602927643086849,1420825159.0,2015-01-09 17:39:19,@CmdrNinja @BBCBreaking 12 People killed my heart goes to the families for their lost sad that they will be sorrounded by this caos.,1,0
charliehebdo,553474514496278528,553603039714869249,553602658196787201,1420824224.0,2015-01-09 17:23:44,@Irenekenny4 @BBCBreaking - deserve to be stopped by any means necessary? People like that don't deserve to live.,1,3
charliehebdo,553474514496278528,553474924472311808,553474514496278528,1420793679.0,2015-01-09 08:54:39,“@BBCBreaking: French Interior Minister says operation under way to detain 2 #CharlieHebdo suspects http://t.co/cvEHFxivky”,1,0
charliehebdo,553474514496278528,553475318905049089,553474514496278528,1420793773.0,2015-01-09 08:56:13,@BBCBreaking What's the betting they will be shot?,1,0
charliehebdo,553474514496278528,553476660889411584,553475318905049089,1420794093.0,2015-01-09 09:01:33,@tonybaloni1964 @BBCBreaking Even if they not armed?,1,0
charliehebdo,553474514496278528,553599498153644032,553476660889411584,1420823380.0,2015-01-09 17:09:40,@CedricMbia @tonybaloni1964 @BBCBreaking hi glad to see you did not jump in the circus whit all the others,1,0
charliehebdo,553474514496278528,553640306919616512,553599498153644032,1420833109.0,2015-01-09 19:51:49,Thank you @Irenekenny4 @tonybaloni1964 @BBCBreaking,1,0
charliehebdo,553474514496278528,553596168228581377,553475318905049089,1420822586.0,2015-01-09 16:56:26,@tonybaloni1964 @BBCBreaking  Smarten up are you a bunch of trouble maker you sure sound like it. No wonder I stop listening to news,1,0
charliehebdo,553474514496278528,553476256013254656,553474514496278528,1420793997.0,2015-01-09 08:59:57,@BBCBreaking  those terrorist and their kind should be hanged,1,0
charliehebdo,553474514496278528,553599133983207425,553476256013254656,1420823293.0,2015-01-09 17:08:13,"@Rustrice @BBCBreaking And LAW 'S It is believed that  
The words that come out your mouth, is the reflection of what u can't accept being.",1,2
charliehebdo,553474514496278528,553477088599367680,553474514496278528,1420794195.0,2015-01-09 09:03:15,@BBCBreaking take the swine alive! They must not become martyrs.  They must be tried and punished publicly. No virgins in heaven for them!,1,0
charliehebdo,553474514496278528,553601220414570497,553477088599367680,1420823791.0,2015-01-09 17:16:31,@earth_orbit @BBCBreaking  they must have a trial be judge by law .But it is not necessary to add comments.Unless u were a witness SHUT UP,1,0
charliehebdo,553474514496278528,553616595273388032,553601220414570497,1420827456.0,2015-01-09 18:17:36,@Irenekenny4 @BBCBreakingwhy would my being a witness have any bearing?. Twitter is all about comment and yours is irrelevant. Grow up.,1,3
charliehebdo,553474514496278528,553621165928091649,553616595273388032,1420828546.0,2015-01-09 18:35:46,@earth_orbit That  I am Doing By saying that BULLYING don't only apply to kids a growing desease in society whit comments of religion etc.,1,0
charliehebdo,553474514496278528,553647101847293953,553621165928091649,1420834730.0,2015-01-09 20:18:50,"@Irenekenny4 You've lost the plot, I have no idea what point you are failing to make.  PS no need to shout. OK.",1,0
